epoch,g_loss,d_loss,Dg_R,Dg_F,Dl_R,Dl_F,ACg_R,ACg_F,ACl_R,ACl_F
141,nan,nan,0.709375,0.0,0.553125,0.0,1.0,0.5,1.0,0.5
142,nan,nan,0.771875,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
143,nan,nan,0.75625,0.0,0.565625,0.0,1.0,0.5,1.0,0.5
144,nan,nan,0.70625,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
145,nan,nan,0.740625,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
146,nan,nan,0.7375,0.0,0.571875,0.0,1.0,0.5,1.0,0.5
147,nan,nan,0.7,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
148,nan,nan,0.753125,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
149,nan,nan,0.71875,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
150,nan,nan,0.765625,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
151,nan,nan,0.70625,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
152,nan,nan,0.709375,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
153,nan,nan,0.721875,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
154,nan,nan,0.71875,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
155,nan,nan,0.728125,0.0,0.578125,0.0,1.0,0.5,1.0,0.5
156,nan,nan,0.7,0.0,0.546875,0.0,1.0,0.5,1.0,0.5
157,nan,nan,0.709375,0.0,0.571875,0.0,1.0,0.5,1.0,0.5
158,nan,nan,0.7625,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
159,nan,nan,0.75625,0.0,0.565625,0.0,1.0,0.5,1.0,0.5
160,nan,nan,0.746875,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
161,nan,nan,0.690625,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
162,nan,nan,0.721875,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
163,nan,nan,0.721875,0.0,0.578125,0.0,1.0,0.5,1.0,0.5
164,nan,nan,0.734375,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
165,nan,nan,0.740625,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
166,nan,nan,0.7375,0.0,0.575,0.0,1.0,0.5,1.0,0.5
167,nan,nan,0.71875,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
168,nan,nan,0.721875,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
169,nan,nan,0.746875,0.0,0.571875,0.0,1.0,0.5,1.0,0.5
170,nan,nan,0.725,0.0,0.571875,0.0,1.0,0.5,1.0,0.5
171,nan,nan,0.7125,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
172,nan,nan,0.734375,0.0,0.546875,0.0,1.0,0.5,1.0,0.5
173,nan,nan,0.740625,0.0,0.578125,0.0,1.0,0.5,1.0,0.5
174,nan,nan,0.75,0.0,0.540625,0.0,1.0,0.5,1.0,0.5
175,nan,nan,0.715625,0.0,0.565625,0.0,1.0,0.5,1.0,0.5
176,nan,nan,0.734375,0.0,0.58125,0.0,1.0,0.5,1.0,0.5
177,nan,nan,0.7125,0.0,0.546875,0.0,1.0,0.5,1.0,0.5
178,nan,nan,0.75625,0.0,0.571875,0.0,1.0,0.5,1.0,0.5
179,nan,nan,0.696875,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
180,nan,nan,0.74375,0.0,0.553125,0.0,1.0,0.5,1.0,0.5
181,nan,nan,0.69375,0.0,0.546875,0.0,1.0,0.5,1.0,0.5
182,nan,nan,0.7,0.0,0.546875,0.0,1.0,0.5,1.0,0.5
183,nan,nan,0.753125,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
184,nan,nan,0.68125,0.0,0.55,0.0,1.0,0.5,1.0,0.5
185,nan,nan,0.734375,0.0,0.546875,0.0,1.0,0.5,1.0,0.5
186,nan,nan,0.7375,0.0,0.578125,0.0,1.0,0.5,1.0,0.5
187,nan,nan,0.73125,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
188,nan,nan,0.7,0.0,0.546875,0.0,1.0,0.5,1.0,0.5
189,nan,nan,0.69375,0.0,0.553125,0.0,1.0,0.5,1.0,0.5
190,nan,nan,0.746875,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
191,nan,nan,0.74375,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
192,nan,nan,0.740625,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
193,nan,nan,0.7125,0.0,0.540625,0.0,1.0,0.5,1.0,0.5
194,nan,nan,0.721875,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
195,nan,nan,0.734375,0.0,0.540625,0.0,1.0,0.5,1.0,0.5
196,nan,nan,0.725,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
197,nan,nan,0.734375,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
198,nan,nan,0.7,0.0,0.584375,0.0,1.0,0.5,1.0,0.5
199,nan,nan,0.746875,0.0,0.553125,0.0,1.0,0.5,1.0,0.5
200,nan,nan,0.690625,0.0,0.55,0.0,1.0,0.5,1.0,0.5
201,nan,nan,0.75,0.0,0.565625,0.0,1.0,0.5,1.0,0.5
202,nan,nan,0.728125,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
203,nan,nan,0.728125,0.0,0.571875,0.0,1.0,0.5,1.0,0.5
204,nan,nan,0.721875,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
205,nan,nan,0.75625,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
206,nan,nan,0.740625,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
207,nan,nan,0.709375,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
