step,phase,loss_D,acc_D,loss_G,loss_adv,loss_sup,loss_rec,loss_cov,loss_acf
56,GAN,0.1253616362810135,1.0,0.8567166328430176,0.8220346570014954,0.0006153811700642109,0.19832132756710052,0.0020253814291208982,0.15134474635124207
57,GAN,0.12491334974765778,0.9999999403953552,0.8635402321815491,0.8261367082595825,0.0006432395312003791,0.21671175956726074,0.0018927885685116053,0.1455126702785492
58,GAN,0.12429530918598175,1.0,0.8553752303123474,0.8215360641479492,0.000682489073369652,0.18987011909484863,0.0017961388221010566,0.16286355257034302
59,GAN,0.12486692517995834,1.0,0.8641420006752014,0.8300522565841675,0.0007027824176475406,0.1926000416278839,0.001666076248511672,0.15206950902938843
60,GAN,0.12318642437458038,0.9999999403953552,0.8700891733169556,0.8350738286972046,0.0007180157117545605,0.1932561993598938,0.001675454550422728,0.19113072752952576
61,GAN,0.12191005051136017,1.0,0.8891881108283997,0.8535841107368469,0.0007134003099054098,0.19800180196762085,0.0015983434859663248,0.1857789158821106
62,GAN,0.12025145441293716,1.0,0.9076400399208069,0.8730462789535522,0.000716080772690475,0.19443853199481964,0.0015453139785677195,0.16166508197784424
63,GAN,0.11856718361377716,0.9999999403953552,0.9237083792686462,0.8897241353988647,0.0007167863077484071,0.19131550192832947,0.0014985610032454133,0.1545804888010025
64,GAN,0.11743281036615372,1.0,0.944097101688385,0.9099249839782715,0.0007041883072815835,0.19297541677951813,0.0015445241006091237,0.15334349870681763
65,GAN,0.11676132678985596,1.0,0.9631845355033875,0.9289391040802002,0.0006914250552654266,0.19575995206832886,0.0014982732245698571,0.13811028003692627
66,GAN,0.11596088856458664,0.9999999403953552,0.9777425527572632,0.9412562847137451,0.0006856648251414299,0.2101851999759674,0.0014390667201951146,0.14291636645793915
67,GAN,0.1137673482298851,1.0,0.9885182976722717,0.9523798823356628,0.0006965183420106769,0.20784391462802887,0.0014336903113871813,0.1414613127708435
68,GAN,0.11312638968229294,1.0,1.0047200918197632,0.9697413444519043,0.0006899584550410509,0.2017299085855484,0.0014095335500314832,0.13035477697849274
69,GAN,0.112215556204319,0.9999999403953552,1.0157560110092163,0.9842169284820557,0.0007070705760270357,0.17735958099365234,0.0013739733258262277,0.1386319100856781
70,GAN,0.11153606325387955,1.0,1.0304831266403198,0.9942494630813599,0.0007042684592306614,0.21158425509929657,0.0013739719288423657,0.1170983538031578
71,GAN,0.11036878824234009,1.0,1.0445879697799683,1.0119333267211914,0.0007104119285941124,0.18562866747379303,0.001382836839184165,0.13188375532627106
72,GAN,0.11012061685323715,0.9999999403953552,1.0558485984802246,1.021937370300293,0.0007185733993537724,0.19166642427444458,0.0013805549824610353,0.148214191198349
73,GAN,0.10814650356769562,1.0,1.0645239353179932,1.0305355787277222,0.0007326039485633373,0.19494472444057465,0.0014044961426407099,0.1253356784582138
74,GAN,0.10818126052618027,1.0,1.0671452283859253,1.0346543788909912,0.0007741322042420506,0.18226034939289093,0.0013819297309964895,0.13939371705055237
75,GAN,0.10790020227432251,0.9999999403953552,1.0769176483154297,1.0418667793273926,0.0008244855562224984,0.19815488159656525,0.001360189402475953,0.1406644731760025
76,GAN,0.10756027698516846,1.0,1.071707844734192,1.0366060733795166,0.000850304146297276,0.198450967669487,0.0014098788378760219,0.13704290986061096
77,GAN,0.10666246712207794,1.0,1.0711520910263062,1.0379340648651123,0.0008419877267442644,0.18131300806999207,0.0013603592524304986,0.17271870374679565
78,GAN,0.10716070979833603,0.9999999403953552,1.081878662109375,1.0464088916778564,0.0008378526545129716,0.1962725669145584,0.001468133763410151,0.17357099056243896
79,GAN,0.10542849451303482,1.0,1.0853421688079834,1.0518739223480225,0.0008107618195936084,0.18760360777378082,0.0014584216987714171,0.14258712530136108
80,GAN,0.10573407262563705,1.0,1.0887857675552368,1.0554240942001343,0.0008223230834119022,0.18827185034751892,0.0014506698353216052,0.1305241882801056
81,GAN,0.10506296157836914,0.9999999403953552,1.08516263961792,1.0504696369171143,0.0008258114103227854,0.19842904806137085,0.0014390528667718172,0.12040235847234726
82,GAN,0.10485992580652237,1.0,1.0976377725601196,1.0643460750579834,0.0008437117212451994,0.1875145137310028,0.0014796574832871556,0.12944859266281128
83,GAN,0.10480781644582748,1.0,1.0971777439117432,1.0621461868286133,0.0008567788172513247,0.1981998085975647,0.001344049465842545,0.1345483660697937
84,GAN,0.10450013726949692,0.9999999403953552,1.074192762374878,1.0408798456192017,0.0008850849117152393,0.18557749688625336,0.0013539899373427033,0.13901542127132416
85,GAN,0.10462961345911026,1.0,1.0634838342666626,1.031362771987915,0.0009356662631034851,0.17643702030181885,0.0013089280109852552,0.1404646784067154
86,GAN,0.10599692910909653,1.0,1.0497368574142456,1.0157504081726074,0.0009936124552041292,0.18883049488067627,0.0013528988929465413,0.1320260912179947
87,GAN,0.10382568836212158,0.9999999403953552,1.0380463600158691,1.004854440689087,0.0010225550504401326,0.18070977926254272,0.0012585336808115244,0.14899811148643494
88,GAN,0.10548041015863419,1.0,1.0244823694229126,0.9913762807846069,0.0010166483698412776,0.1801365613937378,0.001239621895365417,0.1499219685792923
89,GAN,0.10719811171293259,1.0,0.9957665205001831,0.9620912075042725,0.0010094187455251813,0.1811859905719757,0.0012560555478557944,0.17157214879989624
90,GAN,0.11042001098394394,0.9999999403953552,0.9407862424850464,0.904802680015564,0.0010241181589663029,0.1950369030237198,0.0013794793048873544,0.18071438372135162
91,GAN,0.116232730448246,0.9921875,0.8278852105140686,0.794275164604187,0.0011521423002704978,0.17096751928329468,0.0012719858204945922,0.22351810336112976
92,GAN,0.6625807285308838,0.5,0.64532470703125,0.6105013489723206,0.0013040739577263594,0.16886600852012634,0.001299999188631773,0.2771143615245819
93,GAN,0.7836897373199463,0.4999999701976776,0.45950669050216675,0.42308375239372253,0.0015408099861815572,0.17272984981536865,0.0019370040390640497,0.29164549708366394
94,GAN,0.8696644306182861,0.5,0.373394250869751,0.33657681941986084,0.0018545262282714248,0.17071914672851562,0.0027144779451191425,0.27822667360305786
95,GAN,0.9157851934432983,0.5,0.34680554270744324,0.30140119791030884,0.001851069973781705,0.2266082763671875,0.0030185531359165907,0.288466215133667
96,GAN,0.9396359324455261,0.4999999701976776,0.325337678194046,0.2794281542301178,0.001886472455225885,0.22836028039455414,0.002780857030302286,0.29563114047050476
97,GAN,0.9614428877830505,0.5,0.3098554313182831,0.26948314905166626,0.001989467302337289,0.19157534837722778,0.002582985209301114,0.2795051634311676
98,GAN,0.9602421522140503,0.5,0.3217122256755829,0.27249377965927124,0.0020562007557600737,0.25083574652671814,0.0023020575754344463,0.26777034997940063
99,GAN,0.9453927874565125,0.4999999701976776,0.3101135492324829,0.27198630571365356,0.001955542480573058,0.17730264365673065,0.0021658546756953,0.2800138294696808
100,GAN,0.9698378443717957,0.5,0.3182111978530884,0.2679993808269501,0.0017458228394389153,0.2626776099205017,0.0019967686384916306,0.27563953399658203
101,GAN,0.9680631756782532,0.5,0.3020135164260864,0.2673397958278656,0.001620490220375359,0.16068148612976074,0.001882448443211615,0.2826778292655945
102,GAN,0.9649915099143982,0.4999999701976776,0.3071348965167999,0.2627442479133606,0.001600547693669796,0.22837282717227936,0.0018761844839900732,0.263839989900589
103,GAN,0.9638573527336121,0.5,0.30143144726753235,0.2632203996181488,0.00155738927423954,0.18990424275398254,0.0017850083531811833,0.24998529255390167
104,GAN,0.9686200022697449,0.5,0.30521678924560547,0.26261892914772034,0.001525738975033164,0.2208656221628189,0.001764967804774642,0.24189257621765137
105,GAN,0.9643478989601135,0.4999999701976776,0.29904690384864807,0.2635210454463959,0.0014650366501882672,0.17575913667678833,0.001749437884427607,0.23572000861167908
106,GAN,0.9638164043426514,0.5,0.30555596947669983,0.2641594707965851,0.0013999480288475752,0.21781973540782928,0.0018544585909694433,0.22340218722820282
107,GAN,0.9582858085632324,0.5,0.2999197542667389,0.26320117712020874,0.0013149905717000365,0.1867915838956833,0.0018100898014381528,0.2350292056798935
108,GAN,0.9634725451469421,0.4999999701976776,0.3052197992801666,0.26401981711387634,0.0012278665089979768,0.21840400993824005,0.0018109005177393556,0.2350725531578064
109,GAN,0.9662585258483887,0.5,0.3029303550720215,0.26815730333328247,0.0011615698458626866,0.17769426107406616,0.0018338512163609266,0.2289586365222931
110,GAN,0.9579282999038696,0.5,0.30626437067985535,0.26696234941482544,0.0010546178091317415,0.21205109357833862,0.001871787360869348,0.2137189656496048
111,GAN,0.9657671451568604,0.4999999701976776,0.30371150374412537,0.26928088068962097,0.0009630598360672593,0.180967316031456,0.001819924800656736,0.21708764135837555
